Name,Extension,Size_MB,RelativePath,WebsiteCategory,Subcategory,PlannedUse,TargetFolder
Interior02_(2)-JIMNY_3-DOORS8177.webp,.webp,0.023,cms.suzukihyperlocal.com\Interior02_(2)-JIMNY_3-DOORS8177.webp,JIMNY,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
Interior03_(2)-JIMNY_3-DOORSbbfe.webp,.webp,0.025,cms.suzukihyperlocal.com\Interior03_(2)-JIMNY_3-DOORSbbfe.webp,JIMNY,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
Interior04_(1)-JIMNY_3-DOORS4895.webp,.webp,0.018,cms.suzukihyperlocal.com\Interior04_(1)-JIMNY_3-DOORS4895.webp,JIMNY,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
Interior_1-JIMNY_5-DOORS0ec6.webp,.webp,0.003,cms.suzukihyperlocal.com\Interior_1-JIMNY_5-DOORS0ec6.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
Interior_2-JIMNY_5-DOORS3999.webp,.webp,0.007,cms.suzukihyperlocal.com\Interior_2-JIMNY_5-DOORS3999.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
Interior_3-JIMNY_5-DOORS71d6.webp,.webp,0.005,cms.suzukihyperlocal.com\Interior_3-JIMNY_5-DOORS71d6.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
Interior_4-JIMNY_5-DOORS5857.webp,.webp,0.005,cms.suzukihyperlocal.com\Interior_4-JIMNY_5-DOORS5857.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
Interior_5-JIMNY_5-DOORS9e39.webp,.webp,0.006,cms.suzukihyperlocal.com\Interior_5-JIMNY_5-DOORS9e39.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
Interior_6-JIMNY_5-DOORS436f.webp,.webp,0.007,cms.suzukihyperlocal.com\Interior_6-JIMNY_5-DOORS436f.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
Interior_7-JIMNY_5-DOORSba04.webp,.webp,0.008,cms.suzukihyperlocal.com\Interior_7-JIMNY_5-DOORSba04.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
Interior_8-JIMNY_5-DOORS59ea.webp,.webp,0.005,cms.suzukihyperlocal.com\Interior_8-JIMNY_5-DOORS59ea.webp,JIMNY_5,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
kinetic_yellow-JIMNY_3-DOORS5318.webp,.webp,0.034,cms.suzukihyperlocal.com\kinetic_yellow-JIMNY_3-DOORS5318.webp,JIMNY,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
medium_grey-JIMNY_3-DOORS5cac.webp,.webp,0.033,cms.suzukihyperlocal.com\medium_grey-JIMNY_3-DOORS5cac.webp,JIMNY,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
pearl_pure_white-JIMNY_3-DOORSf4bb.webp,.webp,0.034,cms.suzukihyperlocal.com\pearl_pure_white-JIMNY_3-DOORSf4bb.webp,JIMNY,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
silky_silver_metallic-JIMNY_3-DOORS0b68.webp,.webp,0.034,cms.suzukihyperlocal.com\silky_silver_metallic-JIMNY_3-DOORS0b68.webp,JIMNY,Product/interior/exterior/color,Product page + catalog,PRODUCTS/JIMNY
