Name,Extension,Size_MB,RelativePath,WebsiteCategory,Subcategory,PlannedUse,TargetFolder
Carrye522.webp,.webp,0.175,cms.suzukihyperlocal.com\Carrye522.webp,NEW_CARRY,Product/color,Product page + catalog,PRODUCTS/NEW_CARRY
CARRY_WEBSITE_NEW_(1)6385.webp,.webp,0.309,cms.suzukihyperlocal.com\CARRY_WEBSITE_NEW_(1)6385.webp,NEW_CARRY,Product/color,Product page + catalog,PRODUCTS/NEW_CARRY
New-Prime-Graphite-Grey-NEW_CARRY_PICK-UP6209.webp,.webp,0.044,cms.suzukihyperlocal.com\New-Prime-Graphite-Grey-NEW_CARRY_PICK-UP6209.webp,NEW_CARRY,Product/color,Product page + catalog,PRODUCTS/NEW_CARRY
Real-Black-NEW_CARRY_PICK-UPe84c.webp,.webp,0.042,cms.suzukihyperlocal.com\Real-Black-NEW_CARRY_PICK-UPe84c.webp,NEW_CARRY,Product/color,Product page + catalog,PRODUCTS/NEW_CARRY
Silky-Silver-NEW_CARRY_PICK-UP5b0e.webp,.webp,0.036,cms.suzukihyperlocal.com\Silky-Silver-NEW_CARRY_PICK-UP5b0e.webp,NEW_CARRY,Product/color,Product page + catalog,PRODUCTS/NEW_CARRY
suzuki-luncurkan-tampilan-baru-new-carry-pick-up4d55.jpg,.jpg,0.157,cms.suzukihyperlocal.com\suzuki-luncurkan-tampilan-baru-new-carry-pick-up4d55.jpg,NEW_CARRY,Product/color,Product page + catalog,PRODUCTS/NEW_CARRY
White-NEW_CARRY_PICK-UP95de.webp,.webp,0.04,cms.suzukihyperlocal.com\White-NEW_CARRY_PICK-UP95de.webp,NEW_CARRY,Product/color,Product page + catalog,PRODUCTS/NEW_CARRY
