Name,Extension,Size_MB,Size_Bytes,RelativePath,FullPath,WebsiteCategory,Subcategory,PlannedUse
01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [SNOW WHITE] copy-GX3659.png,.png,0.463,485351,cms.suzukihyperlocal.com\01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [SNOW WHITE] copy-GX3659.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\01_Suzuki FRONX GX Exterior 45┬║ front side - FLIP [SNOW WHITE] copy-GX3659.png,FRONX,Exterior/variant/color,Product page + homepage
01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [COOL BLACK] copy-SGX5bc7.png,.png,0.434,454685,cms.suzukihyperlocal.com\01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [COOL BLACK] copy-SGX5bc7.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [COOL BLACK] copy-SGX5bc7.png,FRONX,Exterior/variant/color,Product page + homepage
01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [SAVANA IVORY] copy-SGX2792.png,.png,0.467,489889,cms.suzukihyperlocal.com\01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [SAVANA IVORY] copy-SGX2792.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [SAVANA IVORY] copy-SGX2792.png,FRONX,Exterior/variant/color,Product page + homepage
01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [SNOW WHITE] copy-SGXc61c.png,.png,0.454,475538,cms.suzukihyperlocal.com\01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [SNOW WHITE] copy-SGXc61c.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\01_Suzuki FRONX SGX Exterior 45┬║ front side - FLIP [SNOW WHITE] copy-SGXc61c.png,FRONX,Exterior/variant/color,Product page + homepage
01_Suzuki FRONX SGX Exterior 45┬║ front side [ICE GRAYISH BLUE] copy-SGX5513.png,.png,0.462,484813,cms.suzukihyperlocal.com\01_Suzuki FRONX SGX Exterior 45┬║ front side [ICE GRAYISH BLUE] copy-SGX5513.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\01_Suzuki FRONX SGX Exterior 45┬║ front side [ICE GRAYISH BLUE] copy-SGX5513.png,FRONX,Exterior/variant/color,Product page + homepage
11. Head-Up Displaye1cd.png,.png,0.788,826224,cms.suzukihyperlocal.com\11. Head-Up Displaye1cd.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\11. Head-Up Displaye1cd.png,FEATURE_SAFETY,Feature/safety,Relevant product page
111a95.jpg,.jpg,0.029,30729,cms.suzukihyperlocal.com\111a95.jpg,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\111a95.jpg,ARCHIVE_UNIDENTIFIED,Unnamed/hash/timestamp asset,Archive until contextual source is confirmed
13. ELECTRONIC STABILITY PROGRAM (ESP®️)____b2ca.png,.png,0.33,345825,cms.suzukihyperlocal.com\13. ELECTRONIC STABILITY PROGRAM (ESP®️)____b2ca.png,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\13. ELECTRONIC STABILITY PROGRAM (ESP®️)____b2ca.png,FEATURE_SAFETY,Feature/safety,Relevant product page
1583137774-Recoveredfe3e.jpg,.jpg,0.938,983098,cms.suzukihyperlocal.com\1583137774-Recoveredfe3e.jpg,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1583137774-Recoveredfe3e.jpg,ARTICLE_MEDIA,Article image,Blog/SEO article
16b719.jpg,.jpg,0.432,452684,cms.suzukihyperlocal.com\16b719.jpg,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\16b719.jpg,ARCHIVE_UNIDENTIFIED,Unnamed/hash/timestamp asset,Archive until contextual source is confirmed
17137861602feb.webp,.webp,0.035,37058,cms.suzukihyperlocal.com\17137861602feb.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17137861602feb.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
17155963419779.webp,.webp,0.022,22864,cms.suzukihyperlocal.com\17155963419779.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17155963419779.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
17161923277f1c.webp,.webp,0.01,10734,cms.suzukihyperlocal.com\17161923277f1c.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17161923277f1c.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
1716799842c56b.webp,.webp,0.034,35342,cms.suzukihyperlocal.com\1716799842c56b.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1716799842c56b.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
171696450608f2.webp,.webp,0.139,146132,cms.suzukihyperlocal.com\171696450608f2.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\171696450608f2.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
171774887880c0.webp,.webp,0.012,12840,cms.suzukihyperlocal.com\171774887880c0.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\171774887880c0.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
17183596835e90.webp,.webp,0.023,24280,cms.suzukihyperlocal.com\17183596835e90.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17183596835e90.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
17189530829d64.webp,.webp,0.02,20798,cms.suzukihyperlocal.com\17189530829d64.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17189530829d64.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
17207736751b91.webp,.webp,0.025,26034,cms.suzukihyperlocal.com\17207736751b91.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17207736751b91.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
1721267161b821.webp,.webp,0.099,104330,cms.suzukihyperlocal.com\1721267161b821.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1721267161b821.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
1721398724cdb1.webp,.webp,0.089,93168,cms.suzukihyperlocal.com\1721398724cdb1.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1721398724cdb1.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
1721987785a5e0.webp,.webp,0.031,32750,cms.suzukihyperlocal.com\1721987785a5e0.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\1721987785a5e0.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
17231885607423.webp,.webp,0.014,14604,cms.suzukihyperlocal.com\17231885607423.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17231885607423.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
17237207855f09.webp,.webp,0.024,25348,cms.suzukihyperlocal.com\17237207855f09.webp,D:\Papah\suzukisemarangcenter\TRADA_RAW\cms.suzukihyperlocal.com\17237207855f09.webp,ARTICLE_MEDIA,Article image,Blog/SEO article
